,city,url,Unnamed: 2
0,State Directory,http://florida.bizhwy.com/,
1,Major Cities FL,https://www.floridabusinesslist.com/,
2,Alachua,http://visitalachua.org/alachua-business-directory/,
3,Miami,http://business.miamibeachchamber.com/list,
4,Orlando,https://www.chamberofcommerce.com/orlando-fl,
5,Jacksonville,http://local.jacksonville.com/en-us/,
6,Tampa,http://web.tampachamber.com/search,
7,Fort Lauderdale,https://www.fortlauderdale.gov/visitors/advanced-components/list-detail-pages/business-directory-list,
8,Naples,https://naplesflcoc.wliinc14.com/search,
9,Destin,https://www.destinchamber.com/list,
10,Tallahassee,http://web.talchamber.com/cwt/external/wcpages/wcdirectory/directory.aspx?action=newmembers,
11,Pensacola,http://web.pensacolachamber.com/search,
12,Sarasota,http://www.sarasotachamber.com/,
13,Gainesville,https://members.gainesvillechamber.com/list,
14,St. Petersburg,https://web.stpete.com/search,
15,Clearwater,http://web.clearwaterflorida.org/search,
16,Daytona Beach,https://members.daytonachamber.com/search,
17,Key West,http://web.keywestchamber.org/search,
18,Ocala,http://go.ocalacc.com/list,
19,St. Augustine,https://www.oldcity.com/st-augustine-business-directory-alphabetical/,
20,Kissimmee,http://business.kissimmeechamber.com/list,
21,Panama City Beach,https://www.pcbeach.org/air-conditioning-heating/?nobanner=true,
22,Fort Myers,http://members.fortmyers.org/AIR-CONDITIONING,
23,West Palm Beach,http://www.downtownwpb.com/business/,
24,Boca Raton,http://www.bocaratonchamber.com/boca/search,
25,Bradenton,http://business.manateechamber.com/list/searchalpha/a,
26,Miami Beach,http://business.miamibeachchamber.com/list,
27,Cape Coral,http://web.capecoralchamber.com/search,
28,Vero Beach,https://verobeach.com/vero-beach-directories/professional-services,
29,Port St. Lucie,https://stluciechamber.org/business-directory/,
30,Fort Walton Beach,https://www.fwbchamber.org/list,
31,Delray Beach,http://web.delraybeach.com/list,
32,Pompano Beach,http://chambermaster.pompanobeachchamber.com/list,
33,Cocoa Beach,https://business.cocoabeachchamber.com/list,
34,The Villages,https://local.demandforce.com/d/fl/the-villages,
35,Palm Beach,http://business.palmbeaches.org/list/,
36,Boynton Beach,http://cca.boyntonbeach.org/businesssearch.aspx,
37,Palm Coast,http://www.palmcoast.biz/portal/,
38,Palm Bay,http://new.greaterpalmbaychamber.com/list,
39,Marco Island,https://www.alignable.com/marco-island-fl/directory,
40,Punta Gorda,https://puntagordachamber.com/business-directory/,
41,Deerfield Beach,http://deerfieldchamber.chambermaster.com/list,
42,Siesta Key,http://www.siestakeychamber.com/business_directory,
43,New Smyrna Beach,https://us-business.info/directory/new_smyrna_beach-fl/,
44,Crystal River,https://www.b2byellowpages.com/bd/florida/crystal-river-fl-business-directory.html,
45,Pensacola Beach,https://pensacolabeachchamber.com/business-directory/,
46,Fernandina Beach,https://www.fbfl.us/businessdirectoryii.aspx,
47,Coral Gables,http://site.coralgableschamber.org/search,
48,St. Pete Beach,https://www.visitstpeteclearwater.com/clearwater-beach,
49,Weeki Wachee,http://us-business.info/directory/weeki_wachee-fl/,
50,Islamorada,http://www.islamoradachamber.com/,
51,Cedar Key,http://cedarkey.org/members/,
52,Parkland,https://www.cityofparkland.org/businessdirectoryii.aspx,
53,Hialeah,,
54,Pembroke Pines,https://www.miramarpembrokepines.org/list,
55,Hollywood,https://business.hollywoodchamber.net/list,
56,Miramar,http://www.chambermaster.com/directory/jsp/busdir/Listing_Printable.jsp;jsessionid=0739AA5FB6435F715784DB8551CF5894?command=search&ccid=104&d=alpha&q=s,
57,Coral Springs,https://www.coralsprings.org/how-do-i/test-pages/advanced-components/list-detail-pages/business-directory-list/-alpha-C,
58,Miami Gardens,,
59,Lakeland,http://business.lakelandchamber.com/list,
60,Davie,http://members.davie-coopercity.org/list/searchalpha/a,
61,Deltona,https://business.westvolusiaregionalchamber.org/list,
62,Plantation,,
63,Sunrise,http://business.sunrisechamber.org/list/searchalpha/b,
64,Largo,http://www.centralchamber.biz/Business-Directory.businessdirectory.0.html,
65,Melbourne,https://melbournebusiness.directory/,
66,Lauderhill,https://www.lauderhill-fl.gov/economic-development/lauderhill-business-directory,
67,Weston,https://westonflchamber.com/list,
68,Homestead,,
69,Tamarac,https://www.tnlcoc.org/directory/,
70,Wellington,https://www.walkaboutwellington.com/directory,https://www.wellingtonchamber.com/business-directory/
71,North Miami,http://nomibiz.com/,
72,Jupiter,http://www.townofjupiter.com/business.htm,https://www.inflorida.com/business-directory
73,North Port,http://www.northportareachamber.com/list,
74,Coconut Creek,http://us-business.info/directory/coconut_creek-fl/,
75,Port Orange,https://www.pschamber.com/list,
76,Sanford,http://welcometosanford.com/index.php/business-directory/,
77,Margate,,
78,Palm Beach Gardens,http://members.npbchamber.com/list/searchalpha/c.htm,
79,Doral,really nice business list on their website ;),
80,Pinellas Park,https://allaboutthesunshinestate.com/county/pinellas/,
81,Bonita Springs,https://local.bonitaspringschamber.com/search,
82,Apopka,http://www.apopkachamber.org/business-directory/,
83,Titusville,,
84,Altamonte Springs,,
85,Cutler Bay,,
86,Fort Pierce,,
87,North Miami Beach,,
88,Oakland Park,,
89,North Lauderdale,,
90,Greenacres,,
91,Hallandale Beach,,
92,Ormond Beach,,
93,Aventura,,
94,Oviedo,,
95,Panama City,,
96,Royal Palm Beach,,
97,Lake Worth,,
98,Dunedin,,
99,St. Cloud,,
100,Plant City,,
101,Winter Garden,,
102,Cooper City,,
103,Lauderdale Lakes,,
104,Winter Haven,,
105,Winter Springs,,
106,Ocoee,,
107,Riviera Beach,,
108,Dania Beach,,
109,Miami Lakes,,
110,Clermont,,
111,Deland,,
112,Winter Park,,
113,Casselberry,,
114,Rockledge,,
115,Temple Terrace,,
116,Tarpon Springs,,
117,Palmetto Bay,,
118,Crestview,,
119,Sebastian,,
120,Hialeah Gardens,,
121,Haines City,,
122,Jacksonville Beach,,
123,Leesburg,,
124,Edgewater,,
125,Sunny Isles Beach,,
126,Venice,,
127,DeBary,,
128,Lynn Haven,,
129,Eustis,,
130,Palm Springs,,
131,West Melbourne,,
132,Seminole,,
133,Pinecrest,,
134,Bartow,,
135,Belle Glade,,
136,Cocoa,,
137,Safety Harbor,,
138,Maitland,,
139,Stuart,,
140,Opa-locka,,
141,Lake Wales,,
142,New Port Richey,,
143,Lake Mary,,
144,Callaway,,
145,Miami Springs,,
146,Auburndale,,
147,Lady Lake,,
148,West Park,,
149,Longwood,,
150,Oldsmar,,
151,Sweetwater,,
152,Zephyrhills,,
153,South Daytona,,
154,Tavares,,
155,Atlantic Beach,,
156,Key Biscayne,,
157,Niceville,,
158,Palmetto,,
159,Mount Dora,,
160,Gulfport,,
161,Lake City,,
162,North Palm Beach,,
163,Florida City,,
164,Holly Hill,,
165,South Miami,,
166,Wilton Manors,,
167,Lantana,,
168,Lighthouse Point,,
169,Miami Shores,,
170,Sebring,,
171,Orange City,,
172,Palatka,,
173,Satellite Beach,,
174,Cape Canaveral,,
175,Groveland,,
176,Minneola,,
177,Marianna,,
178,Springfield,,
179,Avon Park,,
180,Milton,,
181,Marathon,,
182,Orange Park,,
183,Lake Park,,
184,Indian Harbour Beach,,
185,Quincy,,
186,Brooksville,,
187,Arcadia,,
188,Southwest Ranches,,
189,Inverness,,
190,Clewiston,,
191,North Bay Village,,
192,Longboat Key,,
193,Perry,,
194,Neptune Beach,,
195,Green Cove Springs,,
196,Live Oak,,
197,Treasure Island,,
198,Fort Myers Beach,,
199,Dade City,,
200,Sanibel,,
201,Macclenny,,
202,Belle Isle,,
203,Lauderdale-by-the-Sea,,
204,St. Augustine Beach,,
205,Gulf Breeze,,
206,Pembroke Park,,
207,West Miami,,
208,Bay Harbor Islands,,
209,Fort Meade,,
210,Surfside,,
211,Pahokee,,
212,Tequesta,,
213,Okeechobee,,
214,DeFuniak Springs,,
215,High Springs,,
216,Starke,,
217,Fellsmere,,
218,Mascotte,,
219,Lake Alfred,,
220,Valparaiso,,
221,Kenneth City,,
222,Wauchula,,
223,South Pasadena,,
224,South Bay,,
225,Wildwood,,
226,Flagler Beach,,
227,Parker,,
228,LaBelle,,
229,Belleview,,
230,Madeira Beach,,
231,Newberry,,
232,Daytona Beach Shores,,
233,Fruitland Park,,
234,Jasper,,
235,Indian Rocks Beach,,
236,Mary Esther,,
237,Indian River Shores,,
238,Belleair,,
239,Grant-Valkaria,,
240,Dundee,,
241,Holmes Beach,,
242,Mulberry,,
243,Highland Beach,,
244,Chipley,,
245,Lake Clarke Shores,,
246,Port St. Joe,,
247,Juno Beach,,
248,Loxahatchee Groves,,
249,Biscayne Park,,
250,Umatilla,,
251,Chattahoochee,,
252,Melbourne Beach,,
253,Hilliard,,
254,Frostproof,,
255,Ponce Inlet,,
256,Davenport,,
257,Bushnell,,
258,Midway,,
259,Madison,,
260,Bowling Green,,
261,Malabar,,
262,Carrabelle,,
263,Bonifay,,
264,Williston,,
265,Indialantic,,
266,Bunnell,,
267,Edgewood,,
268,Pierson,,
269,Port Richey,,
270,Hypoluxo,,
271,Lake Helen,,
272,Bal Harbour,,
273,Blountstown,,
274,Monticello,,
275,Windermere,,
276,El Portal,,
277,Eagle Lake,,
278,Virginia Gardens,,
279,Apalachicola,,
280,Eatonville,,
281,Graceville,,
282,Chiefland,,
283,Sneads,,
284,Malone,,
285,Lake Placid,,
286,Redington Shores,,
287,Belleair Bluffs,,
288,Atlantis,,
289,Sewall's Point,,
290,Wewahitchka,,
291,Zolfo Springs,,
292,Hillsboro Beach,,
293,Haverhill,,
294,Mangonia Park,,
295,Freeport,,
296,Lake Butler,,
297,Astatula,,
298,Oak Hill,,
299,Dunnellon,,
300,Century,,
301,Trenton,,
302,Havana,,
303,Cross City,,
304,Moore Haven,,
305,Anna Maria,,
306,Belleair Beach,,
307,Polk City,,
308,Crescent City,,
309,Ocean Ridge,,
310,North Redington Beach,,
311,Montverde,,
312,Hawthorne,,
313,Indian Shores,,
314,Inglis,,
315,Baldwin,,
316,Redington Beach,,
317,Gretna,,
318,Keystone Heights,,
319,Interlachen,,
320,St. Leo,,
321,Lake Hamilton,,
322,Mayo,,
323,Bradenton Beach,,
324,San Antonio,,
325,Palm Beach Shores,,
326,South Palm Beach,,
327,Callahan,,
328,Archer,,
329,Howey-in-the-Hills,,
330,Mexico Beach,,
331,Bronson,,
332,Center Hill,,
333,Waldo,,
334,Bristol,,
335,Golden Beach,,
336,Oakland,,
337,Pomona Park,,
338,Cottondale,,
339,Palm Shores,,
340,Grand Ridge,,
341,Jennings,,
342,Jupiter Island,,
343,Medley,,
344,Key Colony Beach,,
345,Coleman,,
346,Greenville,,
347,Gulf Stream,,
348,Webster,,
349,White Springs,,
350,Fanning Springs,,
351,Vernon,,
352,Shalimar,,
353,Branford,,
354,Lawtey Nour Town,,
355,Welaka,,
356,Sea Ranch Lakes,,
357,Melbourne Village,,
358,Greenwood,,
359,Paxton,,
360,Yankeetown,,
361,Reddick,,
362,Greensboro,,
363,Micanopy,,
364,Penney Farms,,
365,Hastings,,
366,St. Lucie Village,,
367,Ponce de Leon,,
368,Briny Breezes,,
369,Laurel Hill,,
370,Fort White,,
371,Jay,,
372,Altha,,
373,Hampton,,
374,Ocean Breeze,,
375,Alford,,
376,Sopchoppy,,
377,McIntosh,,
378,Bell,,
379,Glen St. Mary,,
380,Manalapan,,
381,Jupiter Inlet Colony,,
382,Orchid,,
383,Cinco Bayou,,
384,Everglades City,,
385,Wausau,,
386,LaCrosse,,
387,Esto,,
388,Beverly Beach,,
389,Lee,,
390,Brooker,,
391,St. Marks,,
392,Westville,,
393,Caryville,,
394,Ebro,,
395,Hillcrest Heights,,
396,Golf,,
397,Raiford,,
398,Highland Park,,
399,Jacob City,,
400,Noma,,
401,Glen Ridge,,
402,Campbellton,,
403,Worthington Springs,,
404,Layton,,
405,Horseshoe Beach,,
406,Cloud Lake,,
407,Otter Creek,,
408,Bascom,,
409,Belleair Shore,,
410,Indian Creek,,
411,Bay Lake,,
412,Lazy Lake,,
413,Marineland,,
414,Lake Buena Vista,,
